,clones,len
240,"[10000303, 10001303, 10002303, 10009303, 10010303]",5
241,"[10000307, 10005307, 10008307, 10012307, 10016307, 10020307]",6
242,"[10001307, 10006307, 10009307, 10013307, 10017307, 10021307]",6
243,"[10011307, 10015307, 10019307]",3
244,"[10002307, 10007307, 10010307, 10014307, 10018307, 10022307]",6
245,"[10000833, 10001831, 10003825, 10004825, 10005616, 10020615, 10026617, 10030307]",8
246,"[10000831, 10031307]",2
247,"[10006308, 10015308]",2
248,"[10010308, 10017308]",2
249,"[10030308, 10035308]",2
250,"[10007310, 10010310]",2
251,"[10010300, 10011300, 10012300, 10013300, 10014300, 10015300, 10016300, 10017300, 10019310, 10026310]",10
252,"[10019310, 10026310]",2
253,"[10021310, 10027310]",2
254,"[10012310, 10014310]",2
255,"[1000866, 10035310]",2
256,"[10002312, 10003312]",2
257,"[10004315, 10005315, 10006315]",3
258,"[10000315, 10001315]",2
259,"[10000315, 10001315, 10009315]",3
260,"[10000315, 10009315, 10010315, 10011315]",4
261,"[10009315, 10010315, 10011315]",3
262,"[10004316, 10006316]",2
263,"[10005316, 10007316]",2
264,"[10011316, 10014316]",2
265,"[10009316, 10011316, 10014316]",3
266,"[10008316, 10013316]",2
267,"[10010316, 10015316]",2
268,"[10012316, 10017316]",2
269,"[10009316, 10011316]",2
270,"[10025316, 10027316]",2
271,"[10008319, 10028316, 10038316]",3
272,"[10032316, 10034316]",2
273,"[10024316, 10026316]",2
274,"[10029316, 10039316]",2
275,"[10035316, 10037316, 10044316, 10046316]",4
276,"[10036316, 10045316]",2
277,"[10017318, 10018318, 10024318, 10025318]",4
278,"[10019318, 10020318, 10026318, 10027318]",4
279,"[10021318, 10022318, 10028318, 10029318, 100002091, 100012091]",6
280,"[10023318, 10030318]",2
281,"[10016318, 10032318]",2
282,"[10015318, 10031318]",2
283,"[10039318, 10040318, 10041318]",3
284,"[10022319, 10037318]",2
285,"[10042318, 10043318]",2
286,"[10033318, 10045318]",2
287,"[10000322, 10001319, 10002818, 10006322, 10012319, 10013322, 10021322, 100172204, 100292204, 100412204, 100522204]",11
288,"[10001322, 10002319, 10007322, 10013319, 10014322, 10022322]",6
289,"[10010322, 10017319, 10026322]",3
290,"[10008322, 10015319, 10024322]",3
291,"[10000319, 10005322, 10011319, 10012322, 10020322, 100152204, 100272204, 100392204, 100502204]",9
292,"[10003319, 10014319]",2
293,"[10009322, 10016319, 10025322]",3
294,"[10011322, 10018319, 10027322]",3
295,"[10017322, 10019322]",2
296,"[10015322, 10023322]",2
297,"[10004324, 10005324]",2
298,"[10010324, 10011324]",2
299,"[10000122, 10000325]",2
300,"[10008328, 10009325]",2
301,"[10009328, 10010325]",2
302,"[10003328, 10006328]",2
303,"[10004328, 10007328]",2
304,"[10014166, 10043330, 10065330, 10066330, 10067330, 10068330]",6
305,"[10009166, 10059330]",2
306,"[10015166, 10061330, 10062330, 10063330, 10064330]",5
307,"[10000834, 10016166, 10070330, 100002063]",4
308,"[10000834, 10070330, 100002063]",3
309,"[10016166, 10070330]",2
310,"[10034330, 10088330]",2
311,"[10045330, 10109330]",2
312,"[10044330, 10108330]",2
313,"[10069330, 10119330]",2
314,"[10004103, 10007331]",2
315,"[10011331, 10012331, 100171832]",3
316,"[10008331, 10014331]",2
317,"[10000332, 10002331]",2
318,"[10049334, 10050334]",2
319,"[10051334, 10052334, 10053334, 10054334]",4
320,"[10012336, 10067334, 100011334, 100032302, 100051334]",5
321,"[10081334, 10090334, 10105334, 10110334, 10113334, 10117334, 10120334]",7
322,"[10080334, 10104334]",2
323,"[10103334, 10118334]",2
324,"[10098334, 10101334, 10121334, 10126334, 10129334, 10131334, 10134334]",7
325,"[10089334, 10119334]",2
326,"[10127334, 10132334]",2
327,"[10130334, 10135334]",2
328,"[10010998, 10013998, 10015336, 10017998, 10021998, 10025998, 10026336, 10027998, 10029336, 10030336, 10030337, 10031998, 10033337, 10033998, 100061794, 100081561, 100091561, 100091794, 100101150, 100121561, 100161564, 100171093, 100181456, 100181564, 100211564, 100221456, 100231093, 100231564, 100241013, 100241795, 100251456, 100281093, 100291456, 100291564, 100291795, 100301150, 100301564, 100311795, 100321013, 100321092, 100321456, 100331092, 100331093, 100331564, 100341092, 100341456, 100351795, 100361564, 100371456, 100381795, 100391013, 100391413, 100391456, 100391564, 100411795, 100421456, 100421564, 100441456, 100451795, 100461462, 100461945, 100471456, 100481564, 100481795, 100491462, 100501456, 100501795, 100501945, 100511456, 100541945, 100561413, 100581795, 100601564, 100631564, 100651564, 100651795, 100671795, 100701564, 102311914, 102321914, 102341914, 103201914, 103391914, 103501914, 103801914, 103951914, 104061914]",87
329,"[10001699, 10001814, 10003998, 10008475, 10010336, 10015696, 10015811, 10016337, 10018339, 100001371, 100001372, 100001561, 100001606, 100001794, 100011339, 100011456, 100011564, 100021004, 100021612, 100021795, 100031342, 100031347, 100032120, 100032124, 100041093, 100041150, 100041341, 100051810, 100051989, 100052233, 100061039, 100071491, 100081613, 100081945, 100082029, 100082110, 100082117, 100101013, 100111602, 100111816, 100131092, 100131462, 100142244, 100151282, 100161453, 100172245, 100191344, 100192031, 100231343, 100262122, 100291340, 100371413, 100441609, 102161914]",54
330,"[10017336, 10034336]",2
331,"[10023336, 10027336]",2
332,"[10031336, 10032336]",2
333,"[10019337, 10025337, 10028337, 10031337]",4
334,"[10017337, 10032337]",2
335,"[10022337, 10034337, 10036337]",3
336,"[10025981, 10043337]",2
337,"[10060337, 10061337]",2
338,"[10071337, 10072337]",2
339,"[10073337, 10075337]",2
340,"[10074337, 10076337, 10108337]",3
341,"[10069337, 10081337, 10094337, 10106337, 10109337]",5
342,"[10077337, 10080337, 10093337]",3
343,"[10077337, 10080337]",2
344,"[10087337, 10088337, 10100337, 10101337]",4
345,"[10083337, 10085337, 10089337, 10096337, 10102337]",5
346,"[10084337, 10090337]",2
347,"[10086337, 10092337, 10097337, 10099337, 10105337]",5
348,"[10082337, 10095337, 10107337, 10110337]",4
349,"[10080337, 10093337]",2
350,"[10098337, 10104337]",2
351,"[10074337, 10076337, 10078337, 10108337]",4
352,"[10078337, 10108337]",2
353,"[10005339, 10006339]",2
354,"[10022339, 10025339, 100371282, 100471282, 100541282]",5
355,"[10019339, 10021339]",2
356,"[10023339, 10027339]",2
357,"[10030339, 10036339]",2
358,"[10029339, 10035339, 10041339, 10043339, 10047339]",5
359,"[10032339, 10038339]",2
360,"[10031339, 10033339, 10037339, 10039339, 10044339, 10048339]",6
361,"[10010339, 10042339, 10046339, 100191282]",4
362,"[10034339, 10040339]",2
363,"[10016341, 10020341, 10021341]",3
364,"[10039341, 10041341]",2
365,"[10036341, 10046341, 10056341]",3
366,"[10001345, 10001346, 100181034]",3
367,"[10002345, 10002346]",2
368,"[10049341, 10051341]",2
369,"[10006353, 10008348]",2
370,"[10033350, 10036350]",2
371,"[10043350, 10044350, 10045350, 10046350, 10047350, 10048350, 10049350, 10050350, 10051350, 10052350, 10059350, 10082350, 10083350, 10084350, 10085350, 10086350, 10087350, 10088350, 10089350, 10090350, 10101350, 10107350, 10108350, 10109350, 10110350, 10111350, 10112350, 10113350, 10114350, 10115350, 10122350]",31
372,"[10037350, 10054350]",2
373,"[10038350, 10055350, 10075350, 10098350]",4
374,"[10039350, 10056350]",2
375,"[10041350, 10058350]",2
376,"[10035350, 10066350]",2
377,"[10064350, 10067350, 10073350]",3
378,"[10040350, 10057350]",2
379,"[10042350, 10079350, 10104350]",3
380,"[10070350, 10094350]",2
381,"[10069350, 10093350]",2
382,"[10071350, 10095350]",2
383,"[10068350, 10092350]",2
384,"[10053350, 10096350, 10121350]",3
385,"[10074350, 10097350]",2
386,"[10027350, 10102350]",2
387,"[10078350, 10100350]",2
388,"[10028350, 10103350]",2
389,"[10077350, 10099350]",2
390,"[10091350, 10116350]",2
391,"[10013350, 10119350]",2
392,"[10002661, 10138350]",2
393,"[10005348, 10005353]",2
394,"[10000351, 10000355]",2
395,"[10001351, 10001355]",2
396,"[10000373, 10001370]",2
397,"[10028371, 10029371]",2
398,"[10025371, 10034371]",2
399,"[10001371, 10001600, 10001630, 10001631, 10008482, 10037371, 100001569, 100011461, 100011796, 100021285, 100021796, 100031284, 100041284, 100071458, 100071565, 100281790, 100291562, 100371790, 100421453, 100431790, 100481453, 100501573, 100511573, 100541573, 100551573, 100741565, 100771459, 100881459, 100951790, 100971790, 101131790, 101371459, 101391459, 101411459, 101641459, 102131459]",36
400,"[10039371, 10041371, 10043371, 10045371]",4
401,"[10045570, 10048371]",2
402,"[10053371, 10055371]",2
403,"[10027371, 10059371]",2
404,"[10062371, 10065371]",2
405,"[10067371, 10069371]",2
406,"[10076371, 10087371]",2
407,"[10074371, 10083371]",2
408,"[10078371, 10089371]",2
409,"[10081371, 10092371]",2
410,"[10077371, 10088371]",2
411,"[10084371, 10085371]",2
412,"[10082371, 10093371]",2
413,"[10079371, 10090371]",2
414,"[10080371, 10091371]",2
415,"[10000116, 10009372]",2
416,"[10001116, 10001390, 10010372]",3
417,"[10004373, 10012372]",2
418,"[10020372, 10022372, 10023372]",3
419,"[10002370, 10002373]",2
420,"[10001403, 10001406, 10001411, 10003385]",4
421,"[10010385, 10013385]",2
422,"[10009385, 10012385]",2
423,"[10000391, 10000392]",2
424,"[10003373, 10003396]",2
425,"[10000385, 10000403, 10000406, 10000411]",4
426,"[10002403, 10003406]",2
427,"[10001402, 10002413]",2
428,"[10005413, 10007413]",2
429,"[10000402, 10001413]",2
430,"[10056414, 10063414]",2
431,"[10001418, 10002418, 10008418, 10009418, 10010418]",5
432,"[10003418, 10004418]",2
433,"[10000418, 10023418]",2
434,"[10014418, 10015418]",2
435,"[10027418, 10029418]",2
436,"[10001454, 10002424]",2
437,"[10000448, 10003424]",2
438,"[10005424, 10018424]",2
439,"[10006424, 10019424]",2
440,"[10010424, 10017424]",2
441,"[10024424, 10029424]",2
442,"[10023424, 10028424]",2
443,"[10037424, 10040424]",2
444,"[10041424, 10042424]",2
445,"[10027424, 10036424]",2
446,"[10011424, 10049424]",2
447,"[10000858, 10001667, 10001783, 10005426, 100001121, 100001163, 100001318, 100001356, 100001386, 100001435, 100001472, 100001509, 100001530, 100001643, 100001770, 100001828, 100001849, 100001868, 100001998, 100002047, 100002069, 100011583, 100012144, 100021960]",24
448,"[10001429, 10001430, 10002427]",3
449,"[10000428, 10000429, 10000430, 10000432, 10001427]",5
450,"[10002428, 10003429]",2
451,"[10002429, 10002430, 10002432]",3
452,"[10001446, 10007446]",2
453,"[10004448, 10010448]",2
454,"[10000459, 10002454]",2
455,"[10000104, 10000458]",2
456,"[10000461, 10009461, 10018461, 10027461, 10036461, 100002218, 100062218]",7
457,"[10007461, 10016461, 10034461, 10043461]",4
458,"[10012461, 10021461, 10030461, 10039461]",4
459,"[10011461, 10020461, 10038461]",3
460,"[10014461, 10023461, 10032461, 10041461]",4
461,"[10013461, 10022461, 10031461, 10040461, 100092218]",5
462,"[10006461, 10024461, 10033461, 10042461]",4
463,"[10002461, 10029461]",2
464,"[10001458, 10009466]",2
465,"[10000483, 10002483, 10016483, 10018483, 10032483, 10034483, 10040483, 10042483, 10048483, 10050483, 10080483, 10082483, 10088483, 10090483, 10096483, 10098483, 10128483, 10130483, 10136483, 10138483, 10144483, 10146483, 10176483, 10178483, 10184483, 10186483, 10192483, 10194483, 10224483, 10226483, 10232483, 10234483, 10256483, 10258483, 10264483, 10266483, 10272483, 10274483, 10304483, 10306483, 10312483, 10314483, 10320483, 10322483, 10352483, 10354483, 10360483, 10362483, 10368483, 10370483, 10376483, 10378483, 10416483, 10418483, 10424483, 10426483, 10432483, 10434483, 10440483, 10442483, 10480483, 10482483, 10488483, 10490483, 10496483, 10498483, 10504483, 10506483, 10544483, 10546483, 10552483, 10554483, 10560483, 10562483, 10568483, 10570483, 10616483, 10618483, 10624483, 10626483, 10642483, 10644483, 10652483, 10654483, 10662483, 10664483, 10752483, 10754483, 10760483, 10762483, 10768483, 10770483, 10800483, 10802483, 10808483, 10810483, 10816483, 10818483, 10848483, 10850483, 10856483, 10858483, 10864483, 10866483, 10898483, 10900483, 10924483, 10926483, 10932483, 10934483, 10956483, 10958483, 10964483, 10966483, 10988483, 10990483, 10996483, 10998483, 11020483, 11022483]",120
